i,j,Longtitude,Latitude,Sealevel,UpCont,Code,Error
2993,2704,99.75,-0.116667,20,15.758719,108,100
2994,2704,99.783333,-0.116667,25,20.375035,108,100
2995,2704,99.816667,-0.116667,30,24.427233,108,100
2996,2704,99.85,-0.116667,34,27.583719,108,100
2997,2704,99.883333,-0.116667,37,29.550323,108,100
2998,2704,99.916667,-0.116667,37,30.174558,108,100
2999,2704,99.95,-0.116667,35,29.495193,108,100
3000,2704,99.983333,-0.116667,31,27.894461,108,100
3001,2704,100.016667,-0.116667,27,26.038806,108,100
3002,2704,100.05,-0.116667,24,24.558178,108,100
3003,2704,100.083333,-0.116667,23,23.744062,108,100
3004,2704,100.116667,-0.116667,23,23.526252,108,100
3005,2704,100.15,-0.116667,23,23.681646,108,100
3006,2704,100.183333,-0.116667,24,24.031323,108,100
3007,2704,100.216667,-0.116667,24,24.464031,108,100
3008,2704,100.25,-0.116667,25,24.902402,108,100
3009,2704,100.283333,-0.116667,25,25.318548,108,100
3010,2704,100.316667,-0.116667,26,25.739485,108,100
3011,2704,100.35,-0.116667,99999,26.213229,108,100
3012,2704,100.383333,-0.116667,99999,26.751788,108,100
3013,2704,100.416667,-0.116667,99999,27.313268,108,100
3014,2704,100.45,-0.116667,99999,27.850521,108,100
3015,2704,100.483333,-0.116667,99999,28.337339,108,100
3016,2704,100.516667,-0.116667,99999,28.736003,108,100
3017,2704,100.55,-0.116667,99999,28.984819,108,100
3018,2704,100.583333,-0.116667,99999,29.033032,108,100
2974,2703,99.116667,-0.083333,-41,-39.606986,13,212
2975,2703,99.15,-0.083333,-40,-38.344854,888,-888
2976,2703,99.183333,-0.083333,-39,-37.075351,108,100
2977,2703,99.216667,-0.083333,-37,-35.835917,108,100
2978,2703,99.25,-0.083333,-37,-34.569757,108,100
2979,2703,99.283333,-0.083333,-35,-33.155709,108,100
2980,2703,99.316667,-0.083333,-34,-31.470905,108,100
2981,2703,99.35,-0.083333,-32,-29.432705,108,100
2982,2703,99.383333,-0.083333,-29,-26.980051,108,100
2983,2703,99.416667,-0.083333,-25,-24.138029,108,100
2984,2703,99.45,-0.083333,-22,-21.009347,108,100
2985,2703,99.483333,-0.083333,-18,-17.673395,108,100
2986,2703,99.516667,-0.083333,-14,-14.170032,108,100
2987,2703,99.55,-0.083333,-10,-10.559981,108,100
2988,2703,99.583333,-0.083333,-6,-6.850649,108,100
2989,2703,99.616667,-0.083333,-3,-2.866791,108,100
2990,2703,99.65,-0.083333,2,1.560454,108,100
2991,2703,99.683333,-0.083333,8,6.354015,108,100
2992,2703,99.716667,-0.083333,14,11.283206,108,100
2993,2703,99.75,-0.083333,20,16.113751,108,100
2994,2703,99.783333,-0.083333,25,20.615088,108,100
2995,2703,99.816667,-0.083333,30,24.486531,108,100
2996,2703,99.85,-0.083333,33,27.470122,108,100
2997,2703,99.883333,-0.083333,35,29.342071,108,100
2998,2703,99.916667,-0.083333,35,29.927574,108,100
2999,2703,99.95,-0.083333,33,29.292587,108,100
3000,2703,99.983333,-0.083333,29,27.784992,108,100
3001,2703,100.016667,-0.083333,25,26.058231,108,100
3002,2703,100.05,-0.083333,22,24.80818,108,100
3003,2703,100.083333,-0.083333,22,24.320579,108,100
3004,2703,100.116667,-0.083333,23,24.407827,108,100
3005,2703,100.15,-0.083333,24,24.766276,108,100
3006,2703,100.183333,-0.083333,25,25.214177,108,100
3007,2703,100.216667,-0.083333,25,25.669123,108,100
3008,2703,100.25,-0.083333,26,26.092038,108,100
3009,2703,100.283333,-0.083333,26,26.481169,108,100
3010,2703,100.316667,-0.083333,27,26.874667,108,100
3011,2703,100.35,-0.083333,99999,27.326654,108,100
3012,2703,100.383333,-0.083333,99999,27.856054,108,100
3013,2703,100.416667,-0.083333,99999,28.428945,108,100
3014,2703,100.45,-0.083333,99999,28.997749,108,100
3015,2703,100.483333,-0.083333,99999,29.531002,108,100
3016,2703,100.516667,-0.083333,99999,29.9878,108,100
3017,2703,100.55,-0.083333,99999,30.303481,108,100
3018,2703,100.583333,-0.083333,99999,30.423442,108,100
2974,2702,99.116667,-0.05,-39,-38.187085,13,212
2975,2702,99.15,-0.05,-37,-36.757921,888,-888
2976,2702,99.183333,-0.05,-36,-35.378848,108,100
2977,2702,99.216667,-0.05,-35,-34.134964,108,100
2978,2702,99.25,-0.05,-34,-32.952783,108,100
2979,2702,99.283333,-0.05,-34,-31.667251,108,100
2980,2702,99.316667,-0.05,-32,-30.132204,108,100
2981,2702,99.35,-0.05,-31,-28.284554,108,100
2982,2702,99.383333,-0.05,-29,-26.07103,108,100
2983,2702,99.416667,-0.05,-26,-23.425787,108,100
2984,2702,99.45,-0.05,-22,-20.383996,108,100
2985,2702,99.483333,-0.05,-18,-17.066807,108,100
2986,2702,99.516667,-0.05,-13,-13.546433,108,100
2987,2702,99.55,-0.05,-9,-9.869257,108,100
2988,2702,99.583333,-0.05,-5,-6.057116,108,100
2989,2702,99.616667,-0.05,-1,-2.057706,108,100
2990,2702,99.65,-0.05,3,2.225002,108,100
2991,2702,99.683333,-0.05,8,6.839452,108,100
2992,2702,99.716667,-0.05,14,11.663148,108,100
2993,2702,99.75,-0.05,20,16.451669,108,100
2994,2702,99.783333,-0.05,25,20.91626,108,100
2995,2702,99.816667,-0.05,29,24.737981,108,100
2996,2702,99.85,-0.05,33,27.688947,108,100
2997,2702,99.883333,-0.05,35,29.575935,108,100
2998,2702,99.916667,-0.05,34,30.253696,108,100
2999,2702,99.95,-0.05,32,29.773679,108,100
3000,2702,99.983333,-0.05,29,28.434151,108,100
3001,2702,100.016667,-0.05,24,26.87391,108,100
3002,2702,100.05,-0.05,22,25.835234,108,100
3003,2702,100.083333,-0.05,23,25.591592,108,100
3004,2702,100.116667,-0.05,24,25.860456,108,100
3005,2702,100.15,-0.05,26,26.293307,108,100
3006,2702,100.183333,-0.05,26,26.734264,108,100
3007,2702,100.216667,-0.05,27,27.14055,108,100
3008,2702,100.25,-0.05,28,27.498839,108,100
3009,2702,100.283333,-0.05,28,27.815899,108,100
3010,2702,100.316667,-0.05,99999,28.138878,108,100
3011,2702,100.35,-0.05,99999,28.534268,108,100
3012,2702,100.383333,-0.05,99999,29.032301,108,100
3013,2702,100.416667,-0.05,99999,29.604804,108,100
3014,2702,100.45,-0.05,99999,30.19745,108,100
3015,2702,100.483333,-0.05,99999,30.775517,108,100
3016,2702,100.516667,-0.05,99999,31.3049,108,100
3017,2702,100.55,-0.05,99999,31.720825,108,100
3018,2702,100.583333,-0.05,99999,31.955167,108,100
2974,2701,99.116667,-0.016667,-38,-37.195883,888,-888
2975,2701,99.15,-0.016667,-36,-35.5887,888,-888
2976,2701,99.183333,-0.016667,-34,-34.085893,108,100
2977,2701,99.216667,-0.016667,-33,-32.779989,108,100
2978,2701,99.25,-0.016667,-33,-31.609593,108,100
2979,2701,99.283333,-0.016667,-32,-30.39153,108,100
2980,2701,99.316667,-0.016667,-31,-28.953466,108,100
2981,2701,99.35,-0.016667,-30,-27.247057,108,100
2982,2701,99.383333,-0.016667,-28,-25.2567,108,100
2983,2701,99.416667,-0.016667,-26,-22.873765,108,100
2984,2701,99.45,-0.016667,-22,-20.031699,108,100
2985,2701,99.483333,-0.016667,-18,-16.85398,108,100
2986,2701,99.516667,-0.016667,-14,-13.445463,108,100
2987,2701,99.55,-0.016667,-10,-9.795544,108,100
2988,2701,99.583333,-0.016667,-5,-5.894964,108,100
2989,2701,99.616667,-0.016667,-1,-1.778157,108,100
2990,2701,99.65,-0.016667,3,2.520299,108,100
2991,2701,99.683333,-0.016667,8,7.071451,108,100
2992,2701,99.716667,-0.016667,14,11.868204,108,100
2993,2701,99.75,-0.016667,20,16.714784,108,100
2994,2701,99.783333,-0.016667,25,21.29934,108,100
2995,2701,99.816667,-0.016667,30,25.261872,108,100
2996,2701,99.85,-0.016667,33,28.356638,108,100
2997,2701,99.883333,-0.016667,35,30.431137,108,100
2998,2701,99.916667,-0.016667,35,31.382889,108,100
2999,2701,99.95,-0.016667,34,31.237581,108,100
3000,2701,99.983333,-0.016667,31,30.243487,108,100
3001,2701,100.016667,-0.016667,27,28.967846,108,100
3002,2701,100.05,-0.016667,25,28.086012,108,100
3003,2701,100.083333,-0.016667,26,27.856189,108,100
3004,2701,100.116667,-0.016667,27,28.036005,108,100
3005,2701,100.15,-0.016667,28,28.324706,108,100
3006,2701,100.183333,-0.016667,29,28.604659,108,100
3007,2701,100.216667,-0.016667,29,28.86326,108,100
3008,2701,100.25,-0.016667,29,29.092859,108,100
3009,2701,100.283333,-0.016667,30,29.294401,108,100
3010,2701,100.316667,-0.016667,99999,29.51931,108,100
3011,2701,100.35,-0.016667,99999,29.838879,108,100
3012,2701,100.383333,-0.016667,99999,30.283507,108,100
3013,2701,100.416667,-0.016667,99999,30.827238,108,100
3014,2701,100.45,-0.016667,99999,31.421981,108,100
3015,2701,100.483333,-0.016667,99999,32.040685,108,100
3016,2701,100.516667,-0.016667,99999,32.659372,108,100
3017,2701,100.55,-0.016667,99999,33.209821,108,100
3018,2701,100.583333,-0.016667,99999,33.574531,108,100
2974,2700,99.116667,0.016667,-39,-36.583556,888,-888
2975,2700,99.15,0.016667,-36,-34.8284,108,100
2976,2700,99.183333,0.016667,-34,-33.220795,108,100
2977,2700,99.216667,0.016667,-33,-31.813368,108,100
2978,2700,99.25,0.016667,-32,-30.562544,108,100
